root;features;query_products_count;first_product_decada_profit;ten_product_decada_profit;products_with_sales;avg_price_prev_period;avg_price_period;profit_prev_period;profit_period;sellers;sellers_with_sales;sales_period
техника;игровой;250;1144560;52577;63;894;894;1100167;2007123;89;23;1255
игрушка;детский,игровой;69;1645628;63233;36;1068;1529;2088835;1999114;43;23;1185
сувенир;новогодний,рождественский;20;900000;224000;19;1133;1133;3824200;300000;2;1;200
касса;детский,игровой;37;1067878;1379;14;1464;1670;1423224;598553;19;10;227
продукт;игрушечный;217;681226;19682;58;557;462;848982;1532821;90;33;1303
посуда;детский,металлический;13;364165;0;8;893;755;187626;842858;7;6;918
мольберт;двухсторонний,детский;47;6222177;24696;24;617;1837;14338879;4028323;15;8;1740
фигурка;новогодний;282;11237752;20493;88;748;833;22819567;429510;77;35;572
трактор;музыкальный,синий;18;1350000;0;3;398;547;6402;1355892;9;2;1006
игрушка;огромный;71;6007986;0;3;364;368;6021081;14006;13;3;10
интерактивный;интерактивный;16;1270178;0;5;526;407;361;1281926;7;4;1024
набор;виниловый;34;582484;147;13;146;107;64895;602556;10;6;1055
робот;звуковой,световой;70;832650;659;14;951;1057;75235;876810;34;10;944
фигурка;плюшевый;25;2276169;1521;12;870;927;631774;2161169;13;3;1014
бельё;прозрачный,сексуальный,эротический;14;5594601;0;8;326;309;4711212;1598;7;3;2
костюм;горничный,ролевый;38;582568;8240;23;1008;1081;271256;619003;22;15;826
бельё;женский,сексуальный,эротический;265;214344;44608;122;439;494;1601121;2108310;82;43;4121
комплект;кружевной,нижний,эротический;27;674338;2154;11;925;921;8029;698673;13;6;351
бельё;женский,нижний,сексуальный,эротический;94;114076;49608;39;447;462;350144;356873;38;18;1046
гартер;эротический;20;148248;3591;10;731;804;115476;244910;9;6;458
костюм;ролевой,эротический;216;185856;84600;115;1051;1168;826826;1626960;53;32;1401
эротик;женский,кружевной;53;44676;1800;21;450;492;224517;72964;10;5;371
чулки;эротический;93;159468;44820;44;153;496;177602;223997;28;15;342
термос;универсальный;144;21087150;39864;40;1322;1595;2605826;22662482;56;21;21567
термос;температурный;10;8330833;0;5;568;744;0;33964165;3;2;40005
кружка;керамический,смешной;43;3500586;3499700;43;467;443;150387966;11075;1;1;25
капсула;гранулированный;12;6143040;0;2;196;839;0;6268466;1;1;2687
возбудитель;женский;70;2281650;83805;48;621;799;4481419;6787755;30;23;5759
концентрат;женский;42;2145290;4065;30;911;880;1527620;2652278;9;8;3382
виагра;мужской;30;1632924;6894;18;543;631;906724;1632596;24;14;1515
концентрат;мужской;41;2673200;41667;26;959;956;1661758;3503467;9;6;3307
товар;взрослый;19;428241;0;5;344;286;128731;421304;10;2;756
виагра;женский;24;287111;3437;14;411;429;118967;516910;9;8;1055
возбудитель;мужской;50;1531208;3822;30;827;1189;70435;3105636;28;19;3734
смазка;водный,интимный;69;125280;260965;43;1228;1254;933519;1522396;34;24;4911
гель;водный,интимный;121;129580;14742;49;529;611;296435;585372;33;24;1446
смазка;водный;289;836880;82420;148;779;863;1205238;4076647;80;60;10051
лубрикант;съедобный;249;293280;66165;158;575;684;835492;2563669;39;25;4621
вибратор;жидкий;47;537591;10218;18;1178;905;1398787;1716202;6;3;992
смазка;водный,съедобный;18;95580;482;10;511;456;100095;161630;6;4;506
лубрикант;классический;46;110960;1557;19;1274;1095;209353;299818;13;9;503
виагра;чёрный;21;207666;2250;14;672;701;265762;561947;5;3;1044
презерватив;гладкий;68;8946586;9958;37;220;604;290499;10263928;18;9;36677
смазка;вагинальный,водный;10;836880;0;1;1249;527;8532;828960;5;1;1884
презерватив;классический;283;405405;106536;125;645;711;2089686;1745664;60;38;3634
презерватив;ребристый;78;549450;9912;37;498;646;180515;1427809;23;13;2724
презерватив;сверхтонкий;26;1011375;0;8;1336;1576;1026505;118053;4;1;138
маска;эротический;85;28380;4816;28;560;424;40549;118022;30;14;405
плётка;эротик;17;46530;0;2;836;933;13817;39600;10;2;80
набор;пряничный;22;1382328;0;9;487;633;417980;1704070;17;7;4859
приправа;подарочный;28;3552754;374418;28;940;962;8714537;11429418;11;11;9070
мох;исландский;33;470960;16555;21;408;420;693734;1371024;19;13;4832
набор;натуральный,подарочный;100;759660;79380;47;841;1218;1068251;2933030;62;31;5667
конфета;новый;14;352470;27506;11;362;371;448475;855532;5;4;3219
набор;подарочный,чёрный;186;1375920;572508;121;734;777;12296697;19866849;85;45;17941
чай;новый,чёрный;12;574132;1160;12;282;305;322782;671178;3;3;2286
набор;зелёный,листовой,молочный,подарочный,чёрный;19;1384578;35446;19;980;1067;3771167;5740053;4;4;4323
набор;зелёный,подарочный,фруктовый,чёрный;14;1466928;0;8;1342;656;2115434;3584941;6;2;3708
коллаген;морской;280;1125689;230583;176;1416;1466;5108855;8260218;111;88;9645
соль;домашний;16;316720;2256;14;141;146;157296;408065;4;4;2356
суп;быстрый;91;24557715;2640;47;470;437;27045930;111989;30;17;324
кг;очищенные,сырой;15;5069780;0;8;432;443;247600;5031841;6;5;9090
хлебец;-,кукурузный,рисовый;25;138690;626;12;331;405;83894;183154;13;9;1712
мака;перуанский;51;960960;8280;30;329;385;134041;1245560;27;19;2676
оболочка;коллагеновый,натуральный;47;440336;27380;45;767;806;392307;1846076;2;2;5061
оболочка;натуральный,свиной;36;243243;2618;17;285;307;229457;579847;9;7;2357
сливка;кокосовый;67;6348730;12857;41;512;591;6550083;419794;21;15;1051
молоко;обезжиренный,сухой;19;1101449;0;8;982;989;22567;1348476;7;6;2896
сливка;сухой;260;552660;49368;126;574;617;1094720;2101840;50;29;5427
молоко;кокосовый,органический;34;238340;15096;24;732;882;501880;895363;15;9;2150
сливка;растительный;82;221034;142632;55;507;774;1190251;1597816;29;23;2947
