root;features;query_products_count;first_product_decada_profit;ten_product_decada_profit;products_with_sales;avg_price_prev_period;avg_price_period;profit_prev_period;profit_period;sellers;sellers_with_sales;sales_period
блузка;женский,офисный,стильный;29;33227535;12961;13;547;641;1462952;32808743;15;4;40340
блузка;белый,женский,офисный,школьный;36;2924579;37726;28;956;1048;2025822;6454883;17;14;7627
блузка;женский,офисный,трикотажный;23;1206639;12618;17;824;1101;234373;3696112;9;5;5129
рубашка;классический,льняной;29;2327538;47250;16;1695;2037;94446;15239783;6;4;7226
блузка;атласный,женский;112;1552716;161164;68;1053;1103;2662559;6383068;30;15;5486
блузка;боди,длинный,женский;47;1432200;5688;16;348;653;589752;2238174;19;9;1514
блузка;офисный,школьный;168;2924579;73944;97;687;750;3161387;9358181;57;32;10821
офисный;женский,офисный,праздничный;44;686106;18315;27;1239;1064;719832;988956;16;13;1098
блузка;женский,лёгкий,офисный;20;676234;0;9;367;353;18126;2834763;5;1;3650
размер;больший,высокий,женский;246;9931904;68220;104;1173;1134;1132668;19895801;92;41;10880
лосины;женский,зимний;50;21699048;11950;28;407;632;540120;22435507;22;11;10741
леггинсы;зимний,тёплый;133;8365275;75024;68;399;524;5036403;10055467;64;38;11068
брюки;женский,зимний,классический;114;7963156;80100;84;1403;1694;2970292;12346174;32;24;6186
леггинсы;женский,зимний,тёплый;76;3676228;44776;38;455;606;399368;4637538;39;24;3573
леггинсы;беременный,зимний;32;11106700;109750;19;640;803;743722;11007832;23;12;4231
леггинсы;женский,утепленные;33;1193400;841;10;334;475;645962;1564328;26;10;2817
легинсы;женский,тёплый;16;776556;0;9;439;400;800612;1056225;13;9;2360
палаццо;женский,кожаный,матовый;11;1700298;0;7;662;508;1804252;2378073;6;4;2381
велосипедки;высокий,женский;250;539550;10447;79;333;429;1162682;1373719;91;29;2211
леггинсы;зимний,чёрный;14;952360;0;8;469;658;255468;1095428;9;3;1269
леггинсы;высокий,женский;150;943092;76843;50;594;787;1295326;2289350;86;34;2436
леггинсы;женский,кожаный;175;604608;94440;74;696;777;3644228;5179678;94;47;5966
тайтсы;женский,спортивный;218;479709;18240;41;378;368;978752;1267019;74;27;2126
велосипедки;высокий,спортивный,чёрный;20;426150;0;5;662;687;872381;503262;13;2;970
брюки;женский,спортивный,трикотажный;212;900277;42336;59;558;536;1786162;548935;86;29;478
полупальто;больший,женское;13;7192968;0;3;6377;2917;268158;6499608;2;1;642
пуховик;женский,стёганый,удлинённый;21;2122256;0;8;3685;3489;3626769;2289113;5;2;597
премиум;женский,зимний;26;1802736;23088;16;4606;4822;7712636;3695677;6;4;609
пуховик;женский,удлинённый;281;2122256;158760;116;3663;4354;10166089;6769170;83;43;1304
оверсайз;больший,женский,зимний;12;1102500;0;5;1505;4135;1435703;1371511;6;3;332
размер;больший,длинный,женский,зимний;81;1276875;171000;59;6769;6508;7617394;6575839;24;17;1008
шуба;женский,зимний;123;919125;181053;52;8492;16908;879879;6377614;34;22;534
куртка;демисезонный,женский,зимний;280;797720;39539;116;2090;2442;3873422;3477954;81;45;951
осень;зимний;210;186368;14112;91;1584;1746;2535482;3715368;57;32;1967
пуховик;больший,женский;201;1612688;299250;94;4544;4797;9895024;10710524;49;29;1355
водолазка;базовый,водолазка,длинный,женский,тёплый;26;1446625;6520;21;567;780;1820447;2033571;2;1;2497
свитшот;женский,модный,повседневный;76;780975;37647;32;548;683;550642;2063167;9;7;2366
водолазка;базовый,однотонная;37;644358;916;14;489;574;62765;677359;14;7;800
джемпер;тёплый,удлинённый;23;1072338;18560;14;1951;2346;822736;1569772;11;6;887
кофта;длинный,тёплый;287;320859;128898;151;643;954;2279848;5083755;34;23;5251
водолазка;водолазка,женский,мягкий,тёплый,чёрный;105;306128;12996;73;391;713;432766;1093184;1;1;1403
джемпер;длинный,офисный;25;246085;9364;11;599;625;273276;764359;7;3;969
свитер;объёмный;72;806121;63887;36;1083;1321;1791775;3042789;26;11;1260
водолазка;водолазка,женский,чёрный;291;306128;51612;161;389;521;1421922;2154204;40;20;2730
посадка;высокий,женский,широкий;64;1819869;12186;31;1151;967;2598805;2584403;24;13;1611
банан;больший,высокий;13;1021110;5052;10;1084;971;812587;1360493;2;1;1176
джинсы;высокий,женский,модный,прямой;58;1284816;194337;48;1840;1891;3055423;9856406;10;7;5743
джинсы;высокий,прямой,широкий;200;1208256;172890;137;1541;1664;4449107;6944526;70;38;4302
посадка;высокий,женский,чёрный;16;619938;0;9;948;1479;901641;683400;9;5;629
джинсы;высокий,женский,чёрный;209;550160;163500;138;1732;1431;4198348;8483571;77;48;5236
джинсы;высокий,женский,классический;91;5289030;53361;50;1527;1483;1808621;1958047;29;18;1180
клёш;чёрный,широкий;13;758796;0;5;1242;684;1334932;768716;7;5;450
джинсы;высокий,женский,синий,широкий;12;719489;0;8;1666;1895;529291;934124;11;7;541
талия;высокий,женский;280;246600;8029;84;507;503;3083249;2627767;133;57;1984
джеггинсы;высокий,чёрный;29;551544;1760;15;574;593;57469;665233;15;8;492
джинсы;высокий,женский,серый,синий,чёрный;14;466640;37401;14;1518;1590;1138834;1425288;2;2;970
комбинезон;горнолыжный,женский,зимний;267;12186000;310944;131;4065;4577;12997369;23099530;41;25;3140
одежда;верхний,женский,зимний;55;12672000;62363;35;4655;6031;8326467;27636939;20;12;4342
комбинезон;женский,зимний,слитный;67;3357767;161980;40;4944;5303;6249116;5217675;15;9;516
комбинезон;брючный,вечерний,женский,нарядный;49;2804319;40725;36;3197;3639;1755343;4440747;17;11;826
комбинезон;вечерний,женский,праздничный;147;527400;129600;106;3141;3278;6650959;6099129;47;34;2086
комбинезон;женский,зимний,тёплый,флисовый;10;314847;17808;10;2441;2420;1212283;868941;3;3;519
комбинезон;женский,флисовый;144;314847;89590;87;1544;1682;4260453;3407804;27;16;2058
комбинезон;женский,утепленный;41;271656;69420;24;6382;6568;2547914;2066830;12;8;594
комбинезон;женский,новый,праздничный;64;527400;202350;60;2443;2677;3968390;4590417;6;6;2127
комбинезон;женский,зимний,тёплый;67;314847;87723;40;2431;2694;2928473;2407699;18;12;803
комбинезон;женский,нарядный,повседневный;21;543442;0;7;1895;2035;19670;1013249;14;5;302
комбинезон;вечерний,женский,чёрный;19;380880;0;9;3019;3220;376320;457642;11;7;169
комбинезон;брючный,праздничный;75;394740;76500;61;3897;4576;4002253;3783552;23;19;848
комбинезон;вечерний,широкий;13;383382;0;8;3115;3429;681830;692754;5;3;220
оверсайз;трикотажный,широкий;60;5573880;576912;32;1090;1040;2158566;17604082;6;4;15387
фитнес;спортивный;248;5096600;18928;104;770;742;3551513;8698291;94;40;5255
костюм;беременный,спортивный;147;11385624;251940;63;1522;1727;12105719;7100707;31;11;1215
костюм;новый;258;3655652;258264;110;1095;1493;4230253;12517960;82;41;5353
одежда;женский,мужской,спортивный,тёплый;35;1868274;255078;33;3357;3369;2832554;6237537;2;1;1963
лонгслив;женский,квадратный;42;1601343;6000;28;574;620;147751;1599810;9;5;1611
лонгслив;базовый,женский,однотонный;54;1178800;19168;40;939;1099;2734498;6331706;13;9;8755
лонгслив;женский,хлопковый;173;1178800;32095;97;781;804;2591522;6029023;46;31;7310
лонгслив;женский,фигурный;28;460720;43927;20;877;1261;1033951;1387140;4;4;1072
лонгслив;базовый,белый;26;376551;1980;19;842;913;1195708;900415;17;14;857
пиджак;стильный;207;1518270;59850;90;2854;3216;3586752;4216997;48;23;2745
пиджак;женский,нарядный;74;3728176;446527;40;1889;2111;2007739;23650337;33;14;8416
жилет;асимметричный,женский,кожаный;40;2961730;43065;31;1786;1893;2043270;4178344;15;12;2417
жилет;стильный;98;1641690;18270;43;1696;1963;451085;2240702;25;15;1280
пиджак;женский,свободный;33;1208404;7307;11;1224;1762;594993;1311916;19;9;365
жилетка;вязаный,женский,тёплый;46;165189;1500;13;533;600;54182;267110;14;6;323
пиджак;женский,удлинённый,чёрный;84;353130;69513;51;1595;2030;2427504;2814600;38;25;1423
пиджак;женский,классический,прямой;29;691650;33814;22;2255;2431;1560573;2640912;14;10;857
пиджак;джинсовый;39;285219;6560;17;2158;2068;286698;226664;18;10;123
жилет;джинсовый,женский;34;98303;12750;16;1138;1262;43155;49643;15;10;28
жилет;дутый,женский,утепленный;74;216600;71848;45;2075;2405;25603980;1683172;21;12;936
пиджак;женский,классический,стильный;41;239652;23724;27;1599;2076;1108764;1429856;7;3;921
пиджак;длинный,женский;44;307767;31815;25;1729;1663;549083;867073;15;8;358
размер;больший,домашний,трикотажный;35;1154910;0;9;371;314;976764;2783099;19;6;4942
платье;новый,чёрный;136;3858268;929475;111;1362;2126;18363171;26830439;53;45;16170
офис;женский,нарядный,праздничный;207;3828870;150804;83;743;924;21125598;19558875;52;24;7570
платье;праздничный,трикотажный;87;1449900;37856;39;819;1098;2603446;3259161;45;20;2040
платье;стильный,тёплый;32;2103620;0;9;757;1103;1272036;2273830;13;5;1211
платье;вечерний,стильный;164;1981200;531825;64;1166;1325;2397696;9482993;71;26;3501
платье;вечерний,женский,нарядный,новогодний,праздничный;72;2745738;99960;34;1341;3323;5433833;7131157;19;14;2988
размер;больший,женский,офисный;277;909602;76146;116;878;1025;2076499;4381030;96;46;2567
платье;вечерний,женский,новый,праздничный;287;1390350;280665;195;1505;2344;15356734;26692913;81;50;11939
платье;вечерний,нарядный,новогодний,новый,праздничный;19;3313453;6720;11;933;2123;5824195;5115598;8;5;1366
лапша;вечерний,женский,короткий,офисный,праздничный;12;1202116;0;6;482;589;2613848;1518128;4;1;956
платье;вечерний,домашний;28;722880;0;7;279;409;143556;905280;15;4;941
одежда;женский,офисный;144;1268377;70875;65;920;1058;1374857;3448973;35;15;2167
платье;вечерний,новый,праздничный,чёрный;80;737460;390000;72;1381;2055;12516610;17965330;20;18;11546
лапша;женский,праздничный;125;1202116;197072;59;617;789;7627519;8046502;34;19;4649
платье;вечерний,длинный,женский,праздничный;72;4791150;21490;26;1150;1688;5823470;8011074;38;16;1505
платье;вечерний,нарядный,новый,праздничный;181;3313453;275204;99;1175;2447;10785153;17093195;57;27;5413
платье;новый,праздничный,чёрный;83;737460;802500;74;1340;2018;13423830;18605098;23;20;12217
платье;вечерний,женский,трикотажный;147;1009092;56064;63;700;1122;4205328;4889747;52;25;3127
платье;вечерний,женский,офисный,стильный;16;2318190;0;3;840;852;959616;2620380;8;1;934
свитшот;длинный,женский;140;1398460;31680;89;1408;1493;190201;4558615;39;20;3373
свитшот;белый;117;2910586;15840;61;1204;1296;582798;5675685;46;25;3761
флис;тёплый;199;691200;179940;113;1299;1429;2881401;4910146;41;30;2032
зипка;женский,мужской;15;1259434;1483;10;1874;1967;1621398;2450953;5;5;949
свитшот;базовый,новый;14;411018;10500;12;2039;2133;453673;980772;3;3;749
туника;домашний,трикотажный;65;337440;1416;17;412;362;38641;349631;35;9;768
туника;женский,летний,свободный;143;373002;12364;68;593;600;366640;716244;12;6;898
свитер;вязаный,длинный,женский,тёплый;75;261960;112476;48;1258;1864;533758;4495879;20;12;2640
туника;длинный,женский,летний,пляжный;37;552795;3824;14;1037;970;568353;686875;14;4;410
туника;домашний,женский,летний,удлинённый;16;228475;0;3;431;278;1985;219521;12;3;250
топ;белый,женский,спортивный;43;939120;28080;23;234;223;802168;2129141;15;5;6775
футболка;женский,новогодний;100;1230375;126256;49;364;518;3307172;4822371;31;18;8824
снегурочка;новогодний;27;1338746;1135;11;651;696;101765;1547891;16;8;1693
хлопок;натуральный,однотонная;31;604678;7028;20;317;341;1069313;1049513;7;2;2177
футболка;двухцветная,женский;22;606883;86768;19;496;464;1874415;2458591;2;2;4987
футболка;женский,модный;123;639795;6100;44;318;414;2102057;1960574;37;19;3175
футболка;именной;155;774818;2478;18;90;153;8400;822307;6;3;965
халат;больший,женский;300;1940445;134145;157;534;559;2830831;9370397;84;53;9130
халат;домашний,женский,хлопковый;111;1396724;111672;53;614;656;906833;5181313;40;21;5964
халат;домашний,домашний,женский,лёгкий;70;1056784;3016;21;519;659;1201247;181422;13;7;132
халат;длинный,домашний,женский;228;996177;72897;145;1069;1151;2933019;5591195;52;32;5709
банный;банный,домашний,женский;50;1235392;5456;34;986;1046;780327;1407231;8;6;914
атласный;атласный,домашний,шёлковый;15;1065150;31020;15;1430;1423;764540;1646329;1;1;1277
пеньюар;больший,женский;29;605280;33442;23;1074;1049;880602;1441621;5;4;1543
халат;длинный,домашний,женский,хлопковый;14;334110;58500;12;661;676;825040;2057887;3;2;3135
халат;банный,домашний,женский,махровый;168;816600;176919;87;1585;1772;2441116;4560418;52;28;1894
шорты;домашний,женский,пляжный,спортивный;33;519384;0;8;374;248;6992;977943;16;2;1825
шорты;домашний,женский,хлопковый,широкий;12;388168;966;10;430;448;171968;1679374;1;1;3677
шорты;домашний,женский,широкий;24;388168;53248;13;453;554;174787;2284684;5;2;4878
размер;больший,кожаный;140;858648;92184;75;3399;3293;3610791;3944392;57;33;1923
шорты;женский,кожаный,короткий;64;525980;19656;39;1117;1271;1194172;1167231;28;17;832
шорты;женский,летний,спортивный,трикотажный;60;77499;969;15;343;298;161437;349006;27;5;1062
шорты;кожаный,чёрный;123;1091250;42871;90;1198;1315;3273780;3817626;62;52;2260
размер;больший,женский,чёрный;95;466200;25704;38;846;922;734878;1032729;69;31;758
юбка;женский,кожаный,экокожа;36;244215;7640;16;1327;1316;355308;936161;20;10;610
размер;больший,женский,кожаный;77;320021;15840;34;3522;3023;776576;995358;37;19;536
цвет;женский;53;182816;1053;13;395;705;125063;328437;28;9;497
юбка;твидовый;294;43056000;101915;196;1481;1616;2826826;91910809;95;63;39138
мини;чёрный;239;1253475;205296;128;809;1217;5628107;8683448;149;78;6563
юбка;теннисный,школьный;62;810000;29678;28;555;592;1320532;2364538;33;19;3336
юбка;кожаный,короткий;94;1152360;45450;46;1085;1149;922237;2028977;52;26;1358
карандаш;женский,кожаный;255;1474070;60102;151;1042;1150;4176402;5663780;118;71;3508
юбка;кожаный,прямой,чёрный;26;1221024;13958;18;975;1299;552192;1598589;16;11;990
юбка;женский,стильный;83;441000;30168;41;998;1000;1300319;1635206;32;16;1534
юбка;базовый,классический;16;1280712;0;5;491;459;678979;699063;11;4;739
карандаш;замшевый;104;1084336;55944;70;1177;1342;1869228;3767520;33;23;2623
лапка;гусиный;244;652540;13277;84;875;1004;623800;1702971;103;47;1069
юбка;женский,теннисный;135;810000;16112;65;708;765;1070472;1922572;64;40;2385
юбка;женский,короткий,плиссированный;29;395486;3135;15;584;632;1101000;726048;13;6;1005
юбка;длинный,женский,шёлковый;59;538098;39375;28;960;1068;1091867;975383;26;14;967
юбка;кожаный,чёрный;269;1221024;162582;164;972;1194;3229763;6300125;142;91;4381
юбка;осенний;187;1390720;17850;93;957;1024;871124;2327038;67;40;1631
мини;теннисный,школьный;19;424474;21021;16;631;682;341149;866353;4;3;1051
юбка;длинный,шёлковый;95;538098;91047;57;925;1022;2722511;2835989;33;19;2952
юбка;женский,кожаный,чёрный;190;247470;36450;107;916;1047;1987766;3063687;107;64;2351
юбка;длинный,кожаный;78;903825;29134;52;1296;1638;911510;1658361;34;25;1603
офис;женский,чёрный;77;1527246;87870;38;1091;1150;2022157;3335907;43;20;1768
сорочка;больший,женский,ночной;101;1253400;42112;25;181;234;141105;1701510;38;12;2601
пижама;домашний,новогодний;107;2907187;266823;46;689;1065;6635211;12867754;39;23;8400
пинетка;зимний;237;245820;20400;95;695;772;961644;1052970;39;26;870
пинетка;тёплый;238;49395;13350;99;401;443;381636;593920;51;27;1044
пинетка;вязаный;201;56898;14023;74;260;292;196110;421789;56;22;1003
сандали;детский;43;68544;24725;20;395;361;222746;437013;9;2;615
тапочки;детский,домашний,мягкий,тёплый;16;49896;14220;16;701;1001;121403;213272;5;5;277
пинетка;зимний,тёплый;54;64980;3280;24;525;482;204571;218834;14;8;275
кеды;новорождённый;41;25432;1190;18;444;474;4022;46850;4;3;99
балетки;балетки,детский;18;42000;0;4;0;96;0;41699;6;3;126
пинетка;детский,зимний,тёплый;19;39648;418;11;699;571;167710;129800;5;3;163
балетки;острый;65;344225;1134;19;1192;1199;269088;633282;20;10;401
джазовки;тканевый;26;156780;9758;11;1447;1464;722438;397650;7;4;384
джазовки;детский,женский,танцевальный;10;200866;2998;10;1549;1513;1278220;531573;1;1;361
балетки;детский;113;553413;55413;65;304;220;662867;1353503;26;15;3638
джазовки;детский,женский;20;112880;52768;20;1286;1257;1833870;1050977;3;3;868
балетки;женский,круглогодичный;51;38880;5580;33;802;832;117222;175985;4;3;284
чешка;детский;118;141316;72512;77;244;239;306244;660178;32;20;1882
балетки;детский,женский;16;30954;3040;12;243;240;121747;104961;6;3;253
босоножка;женский,летний,чёрный;20;1406464;0;7;1199;1140;7525;3056073;6;2;1366
кожа;женский,летний,натуральный;196;1512756;5705;42;2101;2252;123333;4664441;49;23;1824
биркенштоки;женский;54;61644;4260;29;691;863;120155;167165;7;6;322
босоножка;белый,женский,летний;14;1065900;0;5;1887;1834;17322;1230320;4;2;536
босоножка;вечерний,женский;62;233850;20730;37;2295;2672;198957;740743;11;6;250
сандалия;летний,ортопедический;51;192510;64256;21;1514;1768;167948;1317917;8;3;335
босоножка;резиновый;13;22231;918;11;677;562;9924;73698;3;3;125
сандали;женский;24;21879;11325;11;1356;1228;27706;125824;8;4;175
гриндерсы;женский,зимний;39;307207485;17156;27;2308;2654;146461;322659460;13;11;194877
ботинок;женский,мужской;49;3425700;38568;25;2130;2190;1696039;5271439;21;12;1435
ботинок;высокий,женский,зимний;285;927513;416192;178;3341;3426;5725252;9490777;67;43;2650
ботинок;зимний,чёрный;181;900340;73746;116;2828;2914;3019834;5157976;67;42;1609
дутик;зимний,натуральный;73;675000;109668;44;1494;1557;2663771;3583506;12;9;1151
ботинок;женский,зимний,чёрный;147;900340;81422;93;2905;2879;2216224;4030076;49;30;1219
берцы;зимний,натуральный;41;1007964;62298;26;4143;5118;1546129;2772565;20;16;525
обувь;женский,зимний;167;215391;58696;76;2504;2382;2849909;2218344;34;20;943
кеды;женский,зимний;123;267819888;36432;69;2025;2655;2019883;454115397;44;32;196046
кроссовки;высокий,женский,тёплый;18;25937010;10209;14;2308;1765;109958;184899;5;5;58
кроссовки;высокий,женский,осенний;66;760184;35122;41;1412;1670;3209797;3060162;12;9;2648
кроссовки;белый,женский,летний;122;368885;10450;24;756;512;206581;725060;36;10;980
кроссовки;2023,женский,зимний;82;357696;109002;43;1164;1329;3654224;2482659;14;6;1640
кроссовки;белый,женский,летний,текстильный;10;168000;0;1;491;581;3148;148256;7;1;164
слипоны;женский,летний;188;55605;16608;70;564;524;373135;484282;48;25;988
мокасины;женский,офисный;20;77082;0;7;3078;2928;116909;176571;3;2;91
мокасины;женский,замшевый;27;104382;18344;12;4041;4401;180509;398170;9;4;97
мокасины;демисезонный;43;270000;18000;25;2233;2291;85255;248050;9;3;76
мокасины;женский,комфортный,повседневный;104;9900;4685;65;812;811;113963;160779;1;1;189
мокасины;женский,летний,повседневный,спортивный;89;10307;2811;43;964;975;43631;93497;2;2;102
полуботинок;женский,натуральный;32;23388;0;6;2349;2715;18082;96413;16;3;32
офис;женский,повседневный,спортивный;132;10400;2970;44;940;953;54637;88825;2;1;90
мокасины;женский,натуральный;246;16340;10125;55;3515;3671;232672;318192;34;15;108
сабо;женский,мужской;36;293755;5390;20;750;696;170274;840462;10;5;1538
сабо;женский,медицинский,резиновый;151;350696;57942;133;717;734;917370;2374811;9;9;3334
сабо;белый,женский;19;192962;1980;12;1456;1432;40716;263479;13;7;440
сабо;женский,летний,резиновый;45;140244;15492;28;565;699;70672;383512;11;7;499
сабо;женский,подростковый,резиновый;15;122016;3280;14;682;666;32495;294357;1;1;447
сабо;женский,летний,натуральный;49;356730;8745;22;2209;2124;65190;1018245;20;8;424
сабо;женский,медицинский;269;350696;70740;197;820;832;1414887;3234131;43;31;4023
сабо;кожаный,ортопедический;135;221056;47386;91;1960;2360;1118469;2287480;6;4;1051
галоша;женский;79;15476904;5600;31;383;332;11886;66231;25;11;151
шерсть;зимний,натуральный;120;22239220;30600;72;2767;2530;1510207;23976982;27;21;6589
валенок;серый;16;2266482;0;9;899;2003;98436;6218356;6;4;2847
угги;женский,зимний,кожаный,натуральный;52;708694;47770;36;5726;6542;3454856;2526132;9;6;477
угги;замшевый,зимний,короткий;34;447024;73392;23;1522;1712;7053559;1979199;7;4;889
сапог;женский,зимний,проблемный;38;546000;28231;19;2661;2769;1305732;1008776;2;2;329
сапог;женский,зимний,резиновый;41;279840;52576;34;1635;1602;1140954;1349183;7;6;811
обувь;домашний,женский;120;17388261;17500;63;747;710;430737;18065866;23;18;10799
чуни;домашний,женский,меховой;27;1853800;6468;16;956;1036;985081;3836978;9;8;3257
тапочки;домашний,плюшевый;186;1792200;1123245;114;722;627;20711207;12745866;34;25;13704
тапочки;домашний,женский,комнатный,меховой,тёплый;188;702000;329472;113;767;959;4815730;8184915;26;18;10309
тапочки;домашний,женский,мягкий,тёплый;189;556626;56242;131;706;659;2357263;2674663;39;31;3740
тапочки;домашний,женский,зимний,меховой,тёплый;17;875842;3024;15;1181;1155;1053535;687339;3;3;676
тапочки;домашний,женский,комнатный,мягкий,плюшевый;16;1792200;8100;15;778;470;2153505;539782;5;5;937
тапочки;домашний,меховой,мягкий,тёплый;84;290418;86320;70;673;682;1980038;2290379;15;13;3632
туфля;высокий,женский;271;10161690;125280;134;2313;2627;7174927;14947919;59;33;7633
лоферы;женский,зимний;89;1483542;20209;53;2346;2527;344890;2091760;21;15;1180
туфля;вечерний,женский,модный,офисный,удобный;12;2336334;0;7;1463;2639;1854792;2808774;3;1;1009
туфля;вечерний,высокий;78;1685336;198764;53;1614;2509;172410;5970883;10;8;2526
туфля;вечерний,офисный;103;2336334;286286;69;1865;2542;5295343;11542787;13;5;4409
туфля;народный;40;1487426;53328;34;2579;2756;816329;3619073;13;9;1350
туфля;женский,классический,кожаный,чёрный;11;1557192;0;8;2407;3024;473780;2079258;2;2;761
туфля;вечерний,женский,офисный,удобный;25;2336334;58175;16;1548;2401;2706598;4967186;4;1;1873
туфля;женский,офисный,свадебный;76;796590;40950;44;1966;2356;735896;2024465;6;6;810
туфля;женский,офисный;286;2336334;385784;157;1891;2194;6799466;13835461;28;16;5569
туфля;вечерний,стильный;19;555544;67549;18;1601;2324;39731;3430445;1;1;1468
туфля;вечерний,женский,офисный;75;2336334;133172;50;2047;2476;4114970;7625917;10;3;2943
лоферы;весенний,демисезонный,осенний;18;320786;7536;17;1589;1567;535358;828930;3;3;563
туфля;женский,модный,офисный,удобный;24;2336334;39288;17;1805;2398;2483837;3960711;3;1;1576
туфля;вечерний,классический;29;362440;53380;22;1894;1985;464807;1895113;3;2;800
туфля;женский,осенний;79;291668;16807;37;2380;2443;836718;892935;29;15;367
шлепок;пляжный;38;282210;19565;22;610;640;695514;649961;15;9;907
шлёпанец;женский,летний,пляжный;185;105648;21219;96;506;578;65606;633904;24;19;1240
сланец;банный,женский,пляжный;18;104232;2004;16;460;466;56826;164187;1;1;354
аквасоки;женский;100;58950;7744;72;599;614;297611;350321;19;14;560
шлепок;мужской;34;2107875;3010;11;262;296;44749;42476;12;5;43
кроссовки;высокий,зимний,тёплый;53;25763470;52650;34;2570;2414;1024593;26715993;8;7;4169
тапочки;домашний,женский,комнатный,меховой,мягкий;154;646800;132240;98;1169;1420;2370097;4394097;20;15;4174
стельки;гелевые;86;124516500;1010;21;275;629;18739;124547926;40;12;65640
стельки;зимний,меховой,тёплый;13;328442;0;9;194;259;1170991;263782;8;7;1022
стелька;зимний,тёплый;237;476928;92058;94;146;186;4546368;2436932;92;39;7243
губка;чёрный;71;104190;4756;17;99;112;348648;297017;33;11;1049
стелька;женский,мужской,ортопедический;66;191496;72625;38;614;644;1093556;1017405;30;17;1798
стелька;зимний,тёплый,шерстяной;34;54625;1428;17;147;217;1440600;273183;17;9;1308
мм;универсальный;52;626340;580;14;261;393;34797;661494;39;12;694
стелька;кожаный,ортопедический;46;159840;3784;21;309;365;319640;423353;32;13;1046
watch;женский,мужской,наручный,умный;11;229248426;0;5;1514;1632;1080347619;6490;1;1;2
airpods;беспроводный;38;126548085;2442;12;1136;1596;521870141;33433615;15;5;15687
наушник;беспроводный,детский,игровой,накладный;123;3180088;5499;23;357;376;928677;17329840;16;5;18304
колонка;беспроводный,музыкальный,портативный;72;17686725;15968;26;790;1423;5514425;24171718;33;13;5272
наушник;беспроводный,блютуз;85;3880800;7956;34;672;692;393687;412136;43;20;515
сердце;ледяной,холодный;20;16659734;0;8;2062;1945;1373911;16726130;6;4;5002
конструктор;совместимый;206;2473961;558714;69;799;761;2779592;8316796;38;16;8700
ледокол;арктический;25;5124054;0;7;2530;1858;5166310;53172;6;3;14
конструктор;заколдованный;10;1837362;0;3;1587;1712;1920393;0;7;3;0
автомат;детский,игрушечный;152;2470500;46020;62;553;484;495331;5788474;47;22;4088
конструктор;ветеринарный,скорый;14;1820000;0;1;1169;1154;4818;1820000;3;1;1000
конструктор;ветеринарный;40;1820000;0;9;946;1124;1631880;3575358;11;7;2019
снегокат;красный;35;23065762;8659;15;3735;3413;306401;24681616;7;6;5619
велосипед;детский,трехколесный;186;4890105;92808;66;5435;5471;1509776;8598920;38;18;1545
лыжа;детский;288;780312;191840;153;1024;970;3311863;7047447;53;37;5747
велосипед;детский,трёхколёсный;37;2613804;63000;13;7003;7160;1149264;10082094;9;3;1073
трос;буксировочный;75;1086806;0;5;170;166;10641;1489204;40;4;686
сок;яблочный;188;877847;224100;75;467;491;1509171;2348337;64;33;8373
сок;прямой;113;1653475;7261;57;517;518;1164423;2567618;41;26;5886
питание;детский;146;2521006;17710;47;910;986;3010902;2988009;21;5;4679
кусочек;фруктовый;19;550140;0;8;488;598;179273;580109;5;2;1800
мес;грудной;81;969960;0;4;119;113;1189042;315414;19;3;490
каша;гречневый,молочный;68;225108;2674;14;735;764;195208;339517;19;10;1899
молочко;детский;185;884925;62790;83;1784;1859;26638119;5242538;63;40;7292
сок;прямой,яблочный;23;311928;531;10;547;561;314280;625490;14;8;1669
каши;безмолочный,гречневый,детский,каши;11;134406;0;2;223;147;239691;73350;6;2;665
пюре;12шт;40;581808;50721;23;3314;3306;846914;1718305;3;3;4373
гречневая;безмолочный;12;191184;0;5;823;1000;70167;185818;6;3;1148
г;фруктовый;10;368621;0;4;141;296;258385;474505;5;2;2232
малютка;молочный;24;812187;0;1;370;480;43512840;812187;4;1;999
каша;безмолочный,рисовый;49;113772;398;15;644;671;102970;178559;13;10;1283
каша;кукурузный;192;115536;5760;52;911;960;403728;586960;23;17;2863
подгузник;детский,многоразовый;253;29490750;8748;101;1657;1607;1003701;30996257;19;10;67212
памперс;детский;100;42005250;38000;37;1002;1283;391991;50277585;30;11;27088
кг;ночной;30;17040000;962;11;1446;1207;332624;20451197;11;5;13751
брюки;мужской,трикотажный;138;10146348;200962;69;776;723;4537926;19857917;56;31;8551
подарок;домашний,спортивный;30;575681;1539;13;599;577;580446;799674;10;6;1311
прямые;мужской,спортивный;18;636789;28241;18;833;847;3011086;1269868;1;1;1460
карго;тактический;11;1017588;0;8;2184;2447;382156;1391836;4;2;706
брюки;демисезонный;298;1184820;64008;134;877;964;970626;1963726;80;43;860
брюки;модный,мужской,свободный;23;753990;238144;21;1877;1853;3515214;4470073;3;3;2384
брюки;зимний,спортивный;291;719685;108066;166;946;1194;5005570;4764121;83;50;2611
брюки;мужской,тактический;165;865032;180640;118;2860;3205;4075976;6623603;25;20;3088
брюки;мужской,спортивный,тёплый;128;494700;42722;83;806;975;1500360;1632941;49;32;1018
брюки;зауженные;141;687456;62100;54;1265;1398;1317835;1916165;50;19;1352
хлопок;мужской,прямой,спортивный;43;307918;78346;36;1018;1008;2305877;2140739;9;6;2443
